Context,Epsilon,Delta,Aproximation_type,Distribution_type,Threads,Total_execution_time,Total_time,Total_exec_time_2,Total_closure_time,Updown_time,Total_closure_computations,Total_up_down_computes,Basis_size,Total_counter_examples,Sum_total_tries,Equal_to_count,Empty_set_closure_computes,Support_avg,Support_p10,Support_p50,Support_p90,Support_p95
StandardDS/nom10shuttle.txt,0.1,0.1,strong,frequent,8,7.027181,1.384765,5.443897,0.019208,6.716103,2988,47594,208,377,5119,551,30777,4.940749,12.002299,1.337931,0.002299,0.000000
StandardDS/nom10shuttle.txt,0.1,0.1,strong,area-based,8,7.468899,1.423380,5.843499,0.023402,7.151967,3608,50204,211,388,5761,698,31698,4.811026,11.101149,1.151724,0.002299,0.000000
StandardDS/inter10shuttle.txt,0.1,0.1,weak,uniform,8,1.185635,0.280019,0.289756,0.000000,0.013141,171,14856,171,171,29,18,14427,43.872743,99.990805,5.836782,0.004598,0.002299
StandardDS/inter10shuttle.txt,0.1,0.1,weak,frequent,8,1.213807,0.279512,0.288618,0.000000,0.044305,171,14862,171,171,29,19,14420,43.872743,99.990805,5.836782,0.004598,0.002299
StandardDS/inter10shuttle.txt,0.1,0.1,weak,area-based,8,1.216965,0.279119,0.288404,0.000000,0.047750,171,14856,171,171,29,6,14429,43.872743,99.990805,5.836782,0.004598,0.002299
StandardDS/inter10shuttle.txt,0.1,0.1,strong,uniform,8,1.189138,0.282742,0.293174,0.003590,0.013650,496,15415,172,191,325,3170,14702,43.617669,99.990805,5.802299,0.004598,0.002299
StandardDS/inter10shuttle.txt,0.1,0.1,strong,frequent,8,117.186264,11.968845,104.531580,0.732044,114.589896,31585,461669,437,2624,31427,227423,268385,35.484658,99.983908,11.363218,0.009195,0.004598
StandardDS/inter10shuttle.txt,0.1,0.1,strong,area-based,8,131.677451,13.288032,117.705653,0.838973,128.882275,35896,509494,442,2802,35736,249289,285923,35.406730,99.981609,11.354023,0.009195,0.006897
StandardDS/chess.txt,0.1,0.1,weak,uniform,8,0.205811,0.007732,0.007488,0.000000,0.000980,48,1277,48,48,29,0,1121,30.813256,73.372966,24.687109,1.470588,0.469337
StandardDS/chess.txt,0.1,0.1,weak,frequent,8,0.040675,0.007691,0.007168,0.000000,0.001057,48,1276,48,48,29,5,1120,30.813256,73.372966,24.687109,1.470588,0.469337
